Match,Score,Runs_scored,Balls_faced,Strike_rate,Fours,Sixes,Opposition,Ground,Date,Odi_number,Aggr,Avg,How_Dismissed
300,49*,49,42,116.66,5,1,v Sri Lanka,R Premadasa Stadium,31/08/2017,ODI # 3908,9657,52.2,not out
301,1*,1,1,100,0,0,v Sri Lanka,R Premadasa Stadium,03-09-2017,ODI # 3909,9658,52.21,not out
302,79,79,88,89.77,4,2,v Australia,MA Chidambaram Stadium,17/09/2017,ODI # 3910,9737,52.35,c D A Warner b J P Faulkner
303,5,5,10,50,1,0,v Australia,Eden Gardens,21/09/2017,ODI # 3912,9742,52.1,c S P D Smith b K W Richardson
304,3*,3,6,50,0,0,v Australia,Holkar Cricket Stadium,24/09/2017,ODI # 3914,9745,52.11,not out
305,13,13,10,130,1,1,v Australia,M Chinnaswamy Stadium,28/09/2017,ODI # 3917,9758,51.9,b K W Richardson
306,DNB,-,-,-,-,-,v Australia,Vidarbha Cricket Association Stadium,01-10-2017,ODI # 3919,9758,51.9,did not bat
307,25,25,42,59.52,2,0,v New Zealand,Wankhede Stadium,22/10/2017,ODI # 3928,9783,51.76,c M J Guptill b T A Boult
308,18*,18,21,85.71,3,0,v New Zealand,Maharashtra Cricket Association Stadium,25/10/2017,ODI # 3931,9801,51.86,not out
309,25,25,17,147.05,3,0,v New Zealand,Green Park,29/10/2017,ODI # 3932,9826,51.72,c C Munro b A F Milne
310,65,65,87,74.71,10,2,v Sri Lanka,Himachal Pradesh Cricket Association Stadium,10-12-2017,ODI # 3939,9891,51.79,c M D Gunathilaka b N L T C Perera
311,7,7,5,140,0,1,v Sri Lanka,Punjab Cricket Association IS Bindra Stadium,13/12/2017,ODI # 3941,9898,51.55,lbw b N L T C Perera
312,DNB,-,-,-,-,-,v Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,17/12/2017,ODI # 3942,9898,51.55,did not bat
313,4*,4,3,133.33,1,0,v South Africa,Kingsmead,01-02-2018,ODI # 3969,9902,51.57,not out
314,DNB,-,-,-,-,-,v South Africa,SuperSport Park,04-02-2018,ODI # 3970,9902,51.57,did not bat
315,10,10,22,45.45,0,0,v South Africa,Newlands,07-02-2018,ODI # 3971,9912,51.36,c L Ngidi b Imran Tahir
316,42*,42,43,97.67,3,1,v South Africa,Wanderers Stadium,10-02-2018,ODI # 3973,9954,51.58,not out
317,13,13,17,76.47,1,0,v South Africa,St George's Park,13/02/2018,ODI # 3976,9967,51.38,c A K Markram b L Ngidi
318,DNB,-,-,-,-,-,v South Africa,SuperSport Park,16/02/2018,ODI # 3978,9967,51.38,did not bat
319,DNB,-,-,-,-,-,v England,Trent Bridge,12-07-2018,ODI # 4014,9967,51.38,did not bat
320,37,37,59,62.71,2,0,v England,Lord's,14/07/2018,ODI # 4016,10004,51.3,c B A Stokes b L E Plunkett
321,42,42,66,63.63,4,0,v England,Headingley,17/07/2018,ODI # 4018,10046,51.26,c †J C Buttler b D J Willey
322,0,0,3,0,0,0,v Hong Kong,Dubai International Cricket Stadium,18/09/2018,ODI # 4039,10046,50.99,c †S S McKechnie b Ehsan Khan
323,DNB,-,-,-,-,-,v Pakistan,Dubai International Cricket Stadium,19/09/2018,ODI # 4040,10046,50.99,did not bat
324,33,33,37,89.18,3,0,v Bangladesh,Dubai International Cricket Stadium,21/09/2018,ODI # 4042,10079,50.9,c Mohammad Mithun b Mashrafe Mortaza
325,DNB,-,-,-,-,-,v Pakistan,Dubai International Cricket Stadium,23/09/2018,ODI # 4044,10079,50.9,did not bat
326,8,8,17,47.05,0,0,v Afghanistan,Dubai International Cricket Stadium,25/09/2018,ODI # 4046,10087,50.69,lbw b Javed Ahmadi
327,36,36,67,53.73,3,0,v Bangladesh,Dubai International Cricket Stadium,28/09/2018,ODI # 4048,10123,50.62,c †Mushfiqur Rahim b Mustafizur Rahman
328,DNB,-,-,-,-,-,v West Indies,Barsapara Cricket Stadium,21/10/2018,ODI # 4056,10123,50.62,did not bat
329,20,20,25,80,0,1,v West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,24/10/2018,ODI # 4059,10143,50.46,b O C McCoy
330,7,7,11,63.63,0,0,v West Indies,Maharashtra Cricket Association Stadium,27/10/2018,ODI # 4062,10150,50.25,c †S D Hope b J O Holder
331,23,23,15,153.33,2,0,v West Indies,Brabourne Stadium,29/10/2018,ODI # 4063,10173,50.11,c C Hemraj b K A J Roach
332,DNB,-,-,-,-,-,v West Indies,Greenfield International Stadium,01-11-2018,ODI # 4064,10173,50.11,did not bat
333,51,51,96,53.12,3,1,v Australia,Sydney Cricket Ground,12-01-2019,ODI # 4077,10224,50.12,lbw b J P Behrendorff
334,55*,55,54,101.85,0,2,v Australia,Adelaide Oval,15/01/2019,ODI # 4078,10279,50.39,not out
335,87*,87,114,76.31,6,0,v Australia,Melbourne Cricket Ground,18/01/2019,ODI # 4079,10366,50.81,not out
336,DNB,-,-,-,-,-,v New Zealand,McLean Park,23/01/2019,ODI # 4082,10366,50.81,did not bat
337,48*,48,33,145.45,5,1,v New Zealand,Bay Oval,26/01/2019,ODI # 4085,10414,51.05,not out
338,1,1,6,16.66,0,0,v New Zealand,Westpac Stadium,03-02-2019,ODI # 4092,10415,50.8,b T A Boult
339,59*,59,72,81.94,6,1,v Australia,Rajiv Gandhi International Stadium,02-03-2019,ODI # 4102,10474,51.09,not out
340,0,0,1,0,0,0,v Australia,Vidarbha Cricket Association Stadium,05-03-2019,ODI # 4106,10474,50.84,c U T Khawaja b A Zampa
341,26,26,42,61.9,2,1,v Australia,JSCA International Stadium Complex,08-03-2019,ODI # 4109,10500,50.72,b A Zampa
342,34,34,46,73.91,2,0,v South Africa,The Rose Bowl,05-06-2019,ODI # 4150,10534,50.64,c & b C H Morris
343,27,27,14,192.85,3,1,v Australia,Kennington Oval,09-06-2019,ODI # 4155,10561,50.53,c & b M P Stoinis
344,1,1,2,50,0,0,v Pakistan,Old Trafford,16/06/2019,ODI # 4161,10562,50.3,c †Sarfaraz Ahmed b Mohammad Amir
345,28,28,52,53.84,3,0,v Afghanistan,The Rose Bowl,22/06/2019,ODI # 4169,10590,50.19,st Ikram Ali Khil b Rashid Khan
346,56*,56,61,91.8,3,2,v West Indies,Old Trafford,27/06/2019,ODI # 4175,10646,50.45,not out
347,42*,42,31,135.48,4,1,v England,Edgbaston,30/06/2019,ODI # 4179,10688,50.65,not out
348,35,35,33,106.06,4,0,v Bangladesh,Edgbaston,02-07-2019,ODI # 4182,10723,50.58,c Shakib Al Hasan b Mustafizur Rahman
349,DNB,-,-,-,-,-,v Sri Lanka,Headingley,06-07-2019,ODI # 4187,10723,50.58,did not bat
350,50,50,72,69.44,1,1,v New Zealand,Old Trafford,09-07-2019,ODI # 4190,10773,50.58,run out
