Match,Score,Runs_scored,Balls_faced,Strike_rate,Fours,Sixes,Opposition,Ground,Date,Odi_number,Aggr,Avg,How_Dismissed
144,TDNB,-,-,-,-,-,v Australia,SuperSport Park,28/09/2009,ODI # 2901,4669,49.67,did not bat
145,DNB,-,-,-,-,-,v West Indies,Wanderers Stadium,30/09/2009,ODI # 2904,4669,49.67,did not bat
146,34,34,46,73.91,4,0,v Australia,Reliance Stadium,25/10/2009,ODI # 2913,4703,49.51,c B Lee b S R Watson
147,124,124,107,115.88,9,3,v Australia,Vidarbha Cricket Association Stadium,28/10/2009,ODI # 2915,4827,50.28,c †T D Paine b M G Johnson
148,71*,71,95,74.73,6,0,v Australia,Arun Jaitley Stadium,31/10/2009,ODI # 2918,4898,51.02,not out
149,26,26,46,56.52,2,0,v Australia,Punjab Cricket Association IS Bindra Stadium,02-11-2009,ODI # 2919,4924,50.76,c †G A Manou b D E Bollinger
150,6,6,15,40,0,0,v Australia,Rajiv Gandhi International Stadium,05-11-2009,ODI # 2923,4930,50.31,c A C Voges b C J McKay
151,24,24,77,31.16,1,0,v Australia,Nehru Stadium (Guwahati),08-11-2009,ODI # 2925,4954,50.04,lbw b D E Bollinger
152,72,72,53,135.84,7,3,v Sri Lanka,Madhavrao Scindia Cricket Ground,15/12/2009,ODI # 2932,5026,50.26,c A D Mathews b C R D Fernando
153,107,107,111,96.39,8,2,v Sri Lanka,Vidarbha Cricket Association Stadium,18/12/2009,ODI # 2933,5133,50.82,c T M Dilshan b S Randiv
154,TDNB,-,-,-,-,-,v Sri Lanka,Arun Jaitley Stadium,27/12/2009,ODI # 2936,5133,50.82,did not bat
155,37,37,70,52.85,3,0,v Sri Lanka,Shere Bangla National Stadium,05-01-2010,ODI # 2938,5170,50.69,c †K C Sangakkara b N L T C Perera
156,101*,101,107,94.39,9,0,v Bangladesh,Shere Bangla National Stadium,07-01-2010,ODI # 2939,5271,51.68,not out
157,DNB,-,-,-,-,-,v Sri Lanka,Shere Bangla National Stadium,10-01-2010,ODI # 2941,5271,51.68,did not bat
158,32,32,35,91.42,3,0,v Bangladesh,Shere Bangla National Stadium,11-01-2010,ODI # 2942,5303,51.49,c Imrul Kayes b Shakib Al Hasan
159,14,14,19,73.68,3,0,v Sri Lanka,Shere Bangla National Stadium,13/01/2010,ODI # 2943,5317,51.13,c †K C Sangakkara b K M D N Kulasekara
160,26,26,29,89.65,2,0,v South Africa,Sawai Mansingh Stadium,21/02/2010,ODI # 2961,5343,50.89,c J A Morkel b J H Kallis
161,68*,68,35,194.28,7,4,v South Africa,Captain Roop Singh Stadium,24/02/2010,ODI # 2962,5411,51.53,not out
162,9,9,7,128.57,0,1,v South Africa,Sardar Patel Stadium,27/02/2010,ODI # 2963,5420,51.13,c †M V Boucher b D W Steyn
163,38*,38,45,84.44,3,1,v Bangladesh,Rangiri Dambulla International Stadium,16/06/2010,ODI # 2993,5458,51.49,not out
164,56,56,71,78.87,2,1,v Pakistan,Rangiri Dambulla International Stadium,19/06/2010,ODI # 2996,5514,51.53,b Shoaib Malik
165,41,41,53,77.35,6,0,v Sri Lanka,Rangiri Dambulla International Stadium,22/06/2010,ODI # 2999,5555,51.44,run out
166,38,38,50,76,2,1,v Sri Lanka,Rangiri Dambulla International Stadium,24/06/2010,ODI # 3001,5593,51.31,c K M D N Kulasekara b S H T Kandamby
167,2,2,9,22.22,0,0,v New Zealand,Rangiri Dambulla International Stadium,10-08-2010,ODI # 3030,5595,50.86,run out
168,23*,23,38,60.52,2,0,v Sri Lanka,Rangiri Dambulla International Stadium,16/08/2010,ODI # 3032,5618,51.07,not out
169,10,10,16,62.5,2,0,v Sri Lanka,Rangiri Dambulla International Stadium,21/08/2010,ODI # 3038,5628,50.7,c †K C Sangakkara b N L T C Perera
170,38,38,75,50.66,3,0,v New Zealand,Rangiri Dambulla International Stadium,25/08/2010,ODI # 3039,5666,50.59,c †G J Hopkins b N L McCullum
171,67,67,100,67,5,1,v Sri Lanka,Rangiri Dambulla International Stadium,28/08/2010,ODI # 3040,5733,50.73,b S Randiv
172,0,0,1,0,0,0,v Australia,Dr YS Rajasekhara Reddy Cricket Stadium,20/10/2010,ODI # 3060,5733,50.29,b J W Hastings
173,25,25,35,71.42,1,0,v South Africa,Kingsmead,12-01-2011,ODI # 3079,5758,50.07,run out
174,38,38,61,62.29,1,0,v South Africa,Wanderers Stadium,15/01/2011,ODI # 3080,5796,49.97,b L L Tsotsobe
175,5,5,12,41.66,1,0,v South Africa,Newlands,18/01/2011,ODI # 3082,5801,49.58,c †A B de Villiers b J Botha
176,2,2,8,25,0,0,v South Africa,St George's Park,21/01/2011,ODI # 3084,5803,49.18,c F du Plessis b R J Peterson
177,5,5,10,50,1,0,v South Africa,SuperSport Park,23/01/2011,ODI # 3087,5808,48.81,c G C Smith b M Morkel
178,DNB,-,-,-,-,-,v Bangladesh,Shere Bangla National Stadium,19/02/2011,ODI # 3100,5808,48.81,did not bat
179,31,31,25,124,3,1,v England,M Chinnaswamy Stadium,27/02/2011,ODI # 3110,5839,48.66,c sub b T T Bresnan
180,34,34,50,68,2,0,v Ireland,M Chinnaswamy Stadium,06-03-2011,ODI # 3121,5873,48.54,lbw b G H Dockrell
181,19*,19,40,47.5,2,0,v Netherlands,Arun Jaitley Stadium,09-03-2011,ODI # 3124,5892,48.69,not out
182,12*,12,21,57.14,0,0,v South Africa,Vidarbha Cricket Association Stadium,12-03-2011,ODI # 3128,5904,48.79,not out
183,22,22,30,73.33,1,0,v West Indies,MA Chidambaram Stadium,20/03/2011,ODI # 3141,5926,48.57,st D C Thomas b D Bishoo
184,7,7,8,87.5,1,0,v Australia,Sardar Patel Stadium,24/03/2011,ODI # 3143,5933,48.24,c M J Clarke b B Lee
185,25,25,42,59.52,2,0,v Pakistan,Punjab Cricket Association IS Bindra Stadium,30/03/2011,ODI # 3147,5958,48.05,lbw b Wahab Riaz
186,91*,91,79,115.18,8,2,v Sri Lanka,Wankhede Stadium,02-04-2011,ODI # 3148,6049,48.78,not out
187,33,33,36,91.66,2,0,v England,Riverside Ground,03-09-2011,ODI # 3186,6082,48.66,c †C Kieswetter b T T Bresnan
188,6,6,5,120,1,0,v England,The Rose Bowl,06-09-2011,ODI # 3187,6088,48.32,c I R Bell b T T Bresnan
189,69,69,103,66.99,5,0,v England,Kennington Oval,09-09-2011,ODI # 3189,6157,48.48,c A N Cook b T T Bresnan
190,78*,78,71,109.85,6,3,v England,Lord's,11-09-2011,ODI # 3191,6235,49.09,not out
191,50*,50,26,192.3,5,2,v England,Sophia Gardens,16/09/2011,ODI # 3195,6285,49.49,not out
192,87*,87,70,124.28,10,1,v England,Rajiv Gandhi International Stadium,14/10/2011,ODI # 3199,6372,50.17,not out
193,DNB,-,-,-,-,-,v England,Arun Jaitley Stadium,17/10/2011,ODI # 3201,6372,50.17,did not bat
194,35*,35,31,112.9,3,0,v England,Punjab Cricket Association IS Bindra Stadium,20/10/2011,ODI # 3205,6407,50.45,not out
195,15*,15,18,83.33,1,1,v England,Wankhede Stadium,23/10/2011,ODI # 3207,6422,50.57,not out
196,75*,75,69,108.69,3,4,v England,Eden Gardens,25/10/2011,ODI # 3210,6497,51.16,not out
197,29,29,38,76.31,1,0,v Australia,Melbourne Cricket Ground,05-02-2012,ODI # 3231,6526,50.98,c D A Warner b X J Doherty
198,4,4,5,80,1,0,v Sri Lanka,WACA Ground,08-02-2012,ODI # 3233,6530,50.62,c S L Malinga b K T G D Prasad
199,44*,44,58,75.86,0,1,v Australia,Adelaide Oval,12-02-2012,ODI # 3237,6574,50.96,not out
200,58*,58,69,84.05,3,1,v Sri Lanka,Adelaide Oval,14/02/2012,ODI # 3239,6632,51.41,not out
201,56,56,84,66.66,2,1,v Australia,Brisbane Cricket Ground,19/02/2012,ODI # 3244,6688,51.45,c D T Christian b B W Hilfenhaus
202,14,14,49,28.57,0,0,v Australia,Sydney Cricket Ground,26/02/2012,ODI # 3250,6702,51.16,lbw b B W Hilfenhaus
203,DNB,-,-,-,-,-,v Sri Lanka,Bellerive Oval,28/02/2012,ODI # 3251,6702,51.16,did not bat
204,46*,46,26,176.92,6,1,v Sri Lanka,Shere Bangla National Stadium,13/03/2012,ODI # 3259,6748,51.51,not out
205,21*,21,11,190.9,2,0,v Bangladesh,Shere Bangla National Stadium,16/03/2012,ODI # 3261,6769,51.67,not out
206,4*,4,1,400,1,0,v Pakistan,Shere Bangla National Stadium,18/03/2012,ODI # 3263,6773,51.7,not out
207,35,35,29,120.68,3,1,v Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,21/07/2012,ODI # 3291,6808,51.58,c H D R L Thirimanne b N L T C Perera
208,11,11,16,68.75,2,0,v Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,24/07/2012,ODI # 3292,6819,51.27,c †K C Sangakkara b A D Mathews
209,31,31,49,63.26,1,0,v Sri Lanka,R Premadasa Stadium,28/07/2012,ODI # 3293,6850,51.12,b S L Malinga
